,1,2,3,4,5,6,7,8,9
1,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,image_array,Conv2D,Conv2D
2,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm
3,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,activation,activation
4,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,Conv2D,Conv2D
5,MaxPool,MaxPool,MaxPool,MaxPool,MaxPool,MaxPool,AvgPool,BatchNorm,BatchNorm
6,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,activation,activation
7,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,AvgPool,AvgPool
8,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,Dropout,Dropout
9,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D
10,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm
11,MaxPool,MaxPool,MaxPool,MaxPool,MaxPool,MaxPool,AvgPool,activation,activation
12,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Dropout,Conv2D,Conv2D
13,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,BatchNorm,BatchNorm
14,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,activation,activation
15,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,Conv2D,AvgPool,AvgPool
16,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,BatchNorm,Dropout,Dropout
17,Conv2D,Conv2D,Conv2D,Conv2D,MaxPool,Conv2D,AvgPool,Conv2D,Conv2D
18,BatchNorm,BatchNorm,BatchNorm,BatchNorm,Dropout,BatchNorm,Dropout,BatchNorm,BatchNorm
19,MaxPool,MaxPool,MaxPool,MaxPool,Flatten,MaxPool,Conv2D,activation,activation
20,Dropout,Dropout,Dropout,Dropout,FC,Dropout,BatchNorm,Conv2D,Conv2D
21,Conv2D,Flatten,Flatten,Flatten,Dropout,Flatten,Conv2D,BatchNorm,BatchNorm
22,BatchNorm,FC,FC,FC,FC,FC,BatchNorm,activation,activation
23,Conv2D,Dropout,Dropout,Dropout,Dropout,Dropout,AvgPool,AvgPool,AvgPool
24,BatchNorm,FC,FC,FC,FC,FC,Dropout,Dropout,Dropout
25,Conv2D,Dropout,Dropout,Dropout,Dropout,Dropout,Flatten,Conv2D,Conv2D
26,BatchNorm,FC,FC,FC,FC,FC,FC,BatchNorm,BatchNorm
27,MaxPool,,,,,Dropout,Dropout,activation,activation
28,Dropout,,,,,FC,FC,Conv2D,Conv2D
29,Conv2D,,,,,,Dropout,BatchNorm,BatchNorm
30,BatchNorm,,,,,,FC,activation,activation
31,Conv2D,,,,,,,AvgPool,AvgPool
32,BatchNorm,,,,,,,Dropout,Dropout
33,Conv2D,,,,,,,Flatten,Flatten
34,BatchNorm,,,,,,,FC,FC
35,MaxPool,,,,,,,Dropout,Dropout
36,Dropout,,,,,,,FC,FC
37,Flatten,,,,,,,Dropout,
38,FC,,,,,,,FC,
39,Dropout,,,,,,,,
40,FC,,,,,,,,
41,Dropout,,,,,,,,
42,FC,,,,,,,,
